Model,MAE,MSE,RMSE,R² Score,MAPE (%),R² Train
Random Forest,0.6043646792706062,32.21163084104259,5.675529124323352,0.9999998642368793,0.0024123814603368887,0.9999999816971615
Decision Tree,60.747799006901246,6837.555178931923,82.68951069471825,0.9999711815948024,0.45928544380584024,0.9999738458068389
Gradient Boosting,84.10935294270075,17886.17926634375,133.73922112209175,0.9999246146980834,0.61308985992195,0.99993086573774
Linear Regression,2725.5549212771266,14387407.969363127,3793.0736836190154,0.9393610520492776,43.41748014165414,0.9398025283169136
Ridge Regression,2725.5526574339337,14387409.158863932,3793.073840418076,0.9393610470358604,43.417303550308546,0.9398025283153089
Lasso Regression,2725.502899181645,14387571.05783758,3793.0951817529676,0.9393603646764349,43.41300867856734,0.9398024807962242
