Model,MAE,MSE,RMSE,R2_Score,MAPE,Accuracy
Random Forest,0.6043646792706348,32.21163084104278,5.6755291243233685,0.9999998642368793,0.002412381460336915,100.0
Decision Tree,60.747799006901246,6837.555178931923,82.68951069471825,0.9999711815948024,0.45928544380584024,100.0
Gradient Boosting,84.10935294270075,17886.17926634375,133.73922112209175,0.9999246146980834,0.61308985992195,100.0
Linear Regression,2725.5549212771266,14387407.969363127,3793.0736836190154,0.9393610520492776,43.41748014165414,47.65881067582332
Ridge Regression,2725.5526574339337,14387409.158863932,3793.073840418076,0.9393610470358604,43.417303550308546,47.65881067582332
